"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"99",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"100",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"101",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"102",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"103",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"104",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"105",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"106",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"107",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"108",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"109",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"110",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"112",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"113",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"114",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"115",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"116",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"117",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"118",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"119",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"120",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"121",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"122",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"123",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"124",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"125",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"126",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"127",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"128",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"129",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"130",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"131",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"132",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"133",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"134",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
"135",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"137",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"139",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"140",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"142",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"143",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"144",5,7,9,11,22,24,26,28,30,32,35,38,42,51,58,66
"145",6,8,10,12,23,25,27,29,31,33,36,39,43,52,59,67
"146",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"147",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"148",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"149",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"150",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"151",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"152",8,10,12,14,25,27,29,31,33,35,38,41,45,54,61,69
"153",3,5,7,9,20,22,24,26,28,30,33,36,40,49,56,64
"154",9,11,13,15,26,28,30,32,34,36,39,42,46,55,62,70
"155",4,6,8,10,21,23,25,27,29,31,34,37,41,50,57,65
