"","xihao","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"276",305,0,0,0,0,0.2,0.2,0.3,0.3,0.3,0.5,0.6,0.6,0.9,1.7,3.3,5.5
"277",306,0,0,0,0,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.7,1.5,1.9,2.5
"278",310,0,0,0,0,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.7,0.9,2.2,3.3,5.7
"279",311,0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.5,0.8,1.4,2.1
"281",313,0,0,0,0,0.3,0.2,0.2,0.3,0.4,0.4,0.6,0.6,1.2,2.2,2.8,4.2
"282",314,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,1.1,2,2.8,3.2
"283",316,0,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.7,0.8,1,1.2,1.7,3.1,3.8,5
"285",322,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.9,1.2,2
"286",323,0,0,0,0,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.3,0.6,1.1,1.4,2.8
"287",324,0,0,0,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.7,1.1,1.9
"290",328,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.9,1.6,2
"292",331,0,0,0,0,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.7,1.3,2.1,4
"293",332,0,0,0.1,0.1,0.5,0.3,0.3,0.5,0.5,0.6,0.8,0.8,1.2,2.3,3.2,4.1
"294",335,0,0,0,0,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,1.4,2.4,3.7
"297",338,0,0,0.2,0.2,0.3,0.3,0.3,0.5,0.6,0.7,0.8,1.2,1.3,2.1,2.9,3.7
"299",340,0,0,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,1,1.3,2.5,3.5,4.8
"300",341,0,0,0,0,0.2,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.6,1.3,2.1,2.5
"301",344,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.7,1.2,1.6
"302",345,0,0,0,0,0.2,0.3,0.1,0.3,0.3,0.4,0.4,0.5,0.8,1.4,2.2,3.2
"303",347,0,0.1,0.2,0.3,0.5,0.7,0.7,1,1.1,1.3,1.6,1.9,2.5,4.5,6.1,7.9
"304",353,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.8,1.4,2.1
"305",355,0,0,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.4,0.3,0.5,0.5,1.5,2.3,4.2
"306",357,0,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.7,1,1.7,2.5,3.6
"307",362,0,0,0,0,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,1.3,2.5,4.6
"308",363,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.9,1.2,2.1
"311",368,0,0,0,0,0.3,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.7,1.7,2.8,4.2
"314",375,0,0,0,0.1,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.6,1.1
"317",382,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.7,1.3,2,2.6
"319",384,0,0,0,0,0.3,0.3,0.2,0.4,0.4,0.5,0.7,0.8,1.2,1.6,2.1,3.4
"320",386,0,0,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.7,1,1.5,3.6
"322",642,0,0.1,0.2,0.2,0.6,0.7,0.8,1.1,1.3,1.5,1.5,2.1,2.8,4.5,5.2,6.1
"323",634,0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.6,0.9,1.8,2.6,4.3
"324",646,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,1.4,2.2,4.2
"326",649,0,0,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.7,0.8,1.2,1.4,2.6,3.6,4.6
"327",614,0,0.1,0.1,0.2,0.3,0.3,0.3,0.5,0.5,0.6,0.8,1.1,1.5,3.2,4.1,6.7
"328",631,0,0,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,1,1.2,1.5
"329",629,0,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.6,0.8,0.7,1,1.5,3.2,4.4,7.1
"330",632,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.9,1.7,2.3
"332",626,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.5,0.6,1,1.5
"333",636,0,0,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,1,1.9
"334",621,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.6,0.7
"335",697,0,0,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,1.1,1.4,2.6,3.6,4.7
"336",683,0,0,0.1,0.2,0.3,0.3,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.7,2.6,3.7
"339",669,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.9,1.2,2
"340",609,0,0,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.9,1.2,1.6,1.9
"346",633,0,0,0,0,0.3,0,0.2,0.4,0.4,0.5,0.5,0.5,0.8,1.2,1.9,2.5
"348",627,0,0,0,0.1,0.3,0.3,0.3,0.5,0.6,0.7,0.9,0.8,1.3,2.5,4,4.6
"351",708,0,0,0,0,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6,1.7,2.9,3.4
"352",643,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.7,1,1.3,1.7
"361",673,0,0,0,0,0.2,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.5,1,1.7,3.3
"362",662,0,0,0,0,0.2,0.1,0.2,0.3,0.2,0.4,0.4,0.4,0.6,1,1.5,2.7
"366",647,0,0,0,0,0.3,0.2,0.2,0.3,0.2,0.4,0.4,0.4,0.6,0.9,1.4,2.9
"368",650,0,0.2,0,0,0.2,0.1,0.2,0.3,0.3,0.3,0.4,0.3,0.5,1.4,3.3,6.8
"370",638,0,0,0,0.1,0.3,0.3,0.3,0.4,0.3,0.5,0.6,0.5,0.8,1.2,1.6,1.7
"372",704,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.7,0.9,1.1,1.7,3.2,4,6.6
"374",613,0,0,0,0,0.2,0.2,0.1,0.2,0.1,0.3,0.3,0.3,0.5,0.7,1.2,2.2
"375",640,0,0,0,0,0.2,0.2,0.1,0.2,0.1,0.3,0.3,0.3,0.5,0.7,1.2,2.2
